paragraph,paragraphIndex,section
"Jimmy Ray Johnson (February 4, 1943 – September 5, 2019) was an American session guitarist and record producer. Johnson was a member of the Muscle Shoals Rhythm Section who was attached to FAME Studios in Muscle Shoals, Alabama, for a period in the 1960s. In 1969, with the backing of Atlantic Records executive Jerry Wexler, Johnson became a co-founder of the Muscle Shoals Sound Studio, along with drummer Roger Hawkins, bassist David Hood, and keyboardist Barry Beckett. The studio was originally located at 3614 Jackson Highway in Sheffield and later moved to 1000 Alabama Avenue, also in Sheffield. Johnson performed with Wilson Pickett and Aretha Franklin. He also engineered three tracks on the Rolling Stones' album Sticky Fingers. He died from kidney failure in 2019 at the age of 76.
",0,N/A
"== Discography ==
",1,== Discography ==
"""She Loves My Car"" (45), Ronnie Milsap (1984)
",307,== Discography == | === 1980s ===
"The Dealers (LP), the Dealers (1985)
",308,== Discography == | === 1980s ===
"Digital Works (LP), Ahmad Jamal (1985)
",309,== Discography == | === 1980s ===
"Good Time Man (LP), Latimore (1985)
",310,== Discography == | === 1980s ===
"Love Talkin' (LP), Denise Lasalle (1985)
",311,== Discography == | === 1980s ===
"I Will Survive (LP), Little Milton (1985)
",312,== Discography == | === 1980s ===
"In Memorium 1935–1984 (LP), Z. Z. Hill (1985)
",313,== Discography == | === 1980s ===
"The Rose Brothers (LP), Rose Brothers (1985)
",314,== Discography == | === 1980s ===
"The Forester Sisters (LP), Forester Sisters (1985)
",315,== Discography == | === 1980s ===
"""There's No Way"" (45), Alabama (1985)
",316,== Discography == | === 1980s ===
"Step On Out (LP), Oak Ridge Boys (1985)
",317,== Discography == | === 1980s ===
"""Touch a Hand Make a Friend"" (45), Oak Ridge Boys (1985)
",318,== Discography == | === 1980s ===
"""Little Things"" (45), Oak Ridge Boys (1985)
",319,== Discography == | === 1980s ===
"American Vagabond (LP), William Lee Golden (1985)
",320,== Discography == | === 1980s ===
"Harmony (LP), John Conlee (1985)
",321,== Discography == | === 1980s ===
"Sportin' Life (LP), Willy DeVille (1985)
",322,== Discography == | === 1980s ===
"""Leaning on Me"" (45), Jeff Dugan (1985)
",323,== Discography == | === 1980s ===
"Seasons (LP), Oak Ridge Boys (1986)
",324,== Discography == | === 1980s ===
"Perfume, Ribbons and Pearls (LP), Forester Sisters (1986)
",325,== Discography == | === 1980s ===
"Fire at First Sight (LP), the Kendalls (1986)
",326,== Discography == | === 1980s ===
"Fallin' For You For Years (LP), Conway Twitty (1986)
",327,== Discography == | === 1980s ===
"Miguel Rios (LP), Miguel Rios (Spanish) (1986)
",328,== Discography == | === 1980s ===
"""Hold Me Back"" (45), Connie Smith (1986)
",329,== Discography == | === 1980s ===
"Rain and Fire (LP), Denise Lasalle (1986)
",330,== Discography == | === 1980s ===
"""Make You Feel Loved Again"" (45), Luther Ingram (1986)
",331,== Discography == | === 1980s ===
"Letters from Mississippi (LP), Eddie Hinton (1986)
",332,== Discography == | === 1980s ===
"After All (LP), Bobby ""Blue"" Bland (1986)
",333,== Discography == | === 1980s ===
"Wallto Wall (LP), Johnnie Taylor (1986)
",334,== Discography == | === 1980s ===
"Everything Is Coming Up Roses (LP), Rose Brothers (1986)
",335,== Discography == | === 1980s ===
"Crash Craddock (LP), Billy ""Crash"" Craddock (1986)
",336,== Discography == | === 1980s ===
"Crusader (LP), Cindy Richardson (1986)
",337,== Discography == | === 1980s ===
"Every Way but Wrong (LP), Latimore (1986)
",338,== Discography == | === 1980s ===
"Return to the Scene of the Crime (LP), the Rossington Band (1986)
",339,== Discography == | === 1980s ===
"Tell It Like It Use to Be (LP), T. Graham Brown (1986)
",340,== Discography == | === 1980s ===
"""Hell and High Water"" (45), T. Graham Brown (1986)
",341,== Discography == | === 1980s ===
"""Don't Go to Strangers"" (45), T. Graham Brown (1986)
",342,== Discography == | === 1980s ===
"American Faces (LP), John Conlee (1987)
",343,== Discography == | === 1980s ===
"""Domestic Life"" (45), John Conlee (1987)
",344,== Discography == | === 1980s ===
"""Hopeless Romantic"" (45), Billy and the Beaters (1987)
",345,== Discography == | === 1980s ===
"Devastation (LP), Prince Phillip Mitchell (1987)
",346,== Discography == | === 1980s ===
"""You're Gonna Come Back to Love"" (45), Prince Phillip Mitchell (1987)
",347,== Discography == | === 1980s ===
"Heart of the Country (LP), B. W. Stevenson (1987)
",348,== Discography == | === 1980s ===
"Lover Boy (LP), Johnnie Taylor (1987)
",349,== Discography == | === 1980s ===
"Brilliant Conversationalist (LP, 45), T. Graham Brown (1987)
",350,== Discography == | === 1980s ===
"""Rock Me"" (45), Mosley and Johnson (1987)
",351,== Discography == | === 1980s ===
"Mosley and Johnson (LP), Mosley and Johnson (1987)
",352,== Discography == | === 1980s ===
"All To You (LP) Keith Pringle (1987)
",353,== Discography == | === 1980s ===
"It's Lying Time Again (LP), Denise Lasalle (1987)
",354,== Discography == | === 1980s ===
"Somewhere in the Night, Sawyer Brown (1987)
",355,== Discography == | === 1980s ===
"Old Friends and Golden Bridges (LP), Mickey Newbury (1987)
",356,== Discography == | === 1980s ===
"""Funny Familiar Forgotten Feelings"" (45), Toni Jolene (1987)
",357,== Discography == | === 1980s ===
"""Home of the Blues"" (45), Randy Cutlip (1987)
",358,== Discography == | === 1980s ===
"""Alabama Has It All"" (45), Alabama State Legislature (1987)
",359,== Discography == | === 1980s ===
"""Swamp Music"" (45), Lynyrd Skynyrd (1988)
",360,== Discography == | === 1980s ===
"""Southern by the Grace of God"" '87 Tribute Tour ""Live"" (45), Lynyrd Skynyrd (1988)
",361,== Discography == | === 1980s ===
"""Welcome Me Home"" (45), the Rossington Band (1988)
",362,== Discography == | === 1980s ===
"Love Your Man (LP), the Rossington Band (1988)
",363,== Discography == | === 1980s ===
"I Guess I Just Missed You (LP), Canyon (1988)
",364,== Discography == | === 1980s ===
"""The Last Resort"" (45), T. Graham Brown (1988)
",365,== Discography == | === 1980s ===
"""Careless Whisper"" (45) (Japan), George Michael (1988)
",366,== Discography == | === 1980s ===
"""Lyin' in His Arms Again"" (45), Forester Sisters (1988)
",367,== Discography == | === 1980s ===
"Clutch (LP), Clutch (1988)
",368,== Discography == | === 1980s ===
"Roadhouses & Dance Halls (LP), Lonnie Mack (1988)
",369,== Discography == | === 1980s ===
"Premium (LP), Mosley and Johnson (1988)
",370,== Discography == | === 1980s ===
"No Greater Love (LP), Keith Pringle (1988)
",371,== Discography == | === 1980s ===
"""Soul Searchin'"" / ""True Love"" (45), Glenn Frey (1988)
",372,== Discography == | === 1980s ===
"Fellow Travelers (LP), John Conley (1988)
",373,== Discography == | === 1980s ===
"Let's Talk About Us (LP), Shane Barmby (1989)
",374,== Discography == | === 1980s ===
"In Control (LP), Johnnie Taylor (1989)
",375,== Discography == | === 1980s ===
"Where the Hits Are (LP), Connie Frances (1989)
",376,== Discography == | === 1980s ===
"Midnight Run (LP), Bobby ""Blue"" Bland (1989)
",377,== Discography == | === 1980s ===
"Slow Down (LP), Latimore (1989)
",378,== Discography == | === 1980s ===
"I Just Missed You (LP), Canyon (1989)
",379,== Discography == | === 1980s ===
"=== 1990s ===
",380,== Discography == | === 1990s ===
"Feel the Love (LP), Dorothy Moore (1990)
",381,== Discography == | === 1990s ===
"Still Trapped (LP), Denise LaSalle (1990)
",382,== Discography == | === 1990s ===
"Rainbow Down the Road (LP), B. W. Stevenson (1990)
",383,== Discography == | === 1990s ===
"Crazy Bout You (LP), Johnnie Taylor (1990)
",384,== Discography == | === 1990s ===
"Too Much Pain (LP), Little Milton (1990)
",385,== Discography == | === 1990s ===
"Work It Out (LP), Jim Horn (1990)
",386,== Discography == | === 1990s ===
"Radio Romance (LP), Canyon (1990)
",387,== Discography == | === 1990s ===
"Magnify Him (LP), Keith Pringle & Angel Voices of Faith (1990)
",388,== Discography == | === 1990s ===
"Bad Dream (CD), Little Milton (1990)
",389,== Discography == | === 1990s ===
"Believe (CD), Keith Pringle & Angel Voices of Faith (1990)
",390,== Discography == | === 1990s ===
"""God's Word Shall Stand"" (S), Keith Pringle & Angel Voices of Faith (1990)
",391,== Discography == | === 1990s ===
"""I Pity the Fool"" (S), Bobby ""Blue"" Bland (1990)
",392,== Discography == | === 1990s ===
"""I'm Loved"" (S), Denise LaSalle (1990)
",393,== Discography == | === 1990s ===
"""Paper Thin"" (S), Denise LaSalle (1990)
",394,== Discography == | === 1990s ===
"""Seein' You Again"" (S), Dorothy Moore (1990)
",395,== Discography == | === 1990s ===
"""Shower You with Love"", (S) Latimore (1990)
",396,== Discography == | === 1990s ===
"Some Girls Do (CD), Sawyer Brown (1990)
",397,== Discography == | === 1990s ===
"""Sunday Morning Love"" (S), Bobby ""Blue"" Bland (1990)
",398,== Discography == | === 1990s ===
"The Dirt Road (CD), Sawyer Brown (1990)
",399,== Discography == | === 1990s ===
"""The Only Way Is Up"" (S), Latimore (1990)
",400,== Discography == | === 1990s ===
"""Wild Thang (All Night Long)"" (S), Denise LaSalle (1990)
",401,== Discography == | === 1990s ===
"== References ==
",402,== References ==
"== External links ==
",403,== External links ==
"Jimmy Johnson Music (official web site)
",404,== External links ==
"Jimmy Johnson Discography
",405,== External links ==
"Muscle Shoals Studio shuts down - Rolling Stone magazine
",406,== External links ==
"FAME Studios
",407,== External links ==
"Alabama Music Hall of Fame
",408,== External links ==
"All Music Jimmy Johnson entry
",409,== External links ==
"Jimmy Johnson discography at Discogs
",410,== External links ==
Jimmy Johnson at IMDb,411,== External links ==
