time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
3 February 1967,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Børge Petersen-Øverleir (born 3 February 1967 in Hemnesberget, Norway) is a Norwegian guitarist, raised in Bergen and Bodø, early active in heavy rock, autodidact in jazz centered around in Bodø.",0,0,,51191611,1967-02-03,1967-02-03,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,2007:,0,7,== Discography == | === Solo album ===,51191611,2007-01-01,2007-12-31,ML
Winter Night,NNP NNP,SEASON_REGEX DAY_TIME_REGEX,TIME TIME,time_reference,"Quiet Winter Night (2L), with Hoff EnsembleWith Amy Studt2003:",1,43,== Discography == | === Collaborations ===,51191611,2003-01-01,2003-12-31,LLM
Jan,NNP,MONTH_ABBR_REGEX,TIME,time_reference,Jan Gunnar Hoff1998:,2,40,== Discography == | === Collaborations ===,51191611,1998-01-01,1998-01-31,LLM
Jan,NNP,MONTH_ABBR_REGEX,TIME,time_reference,"Petersen-Øverleir has collaborated on several recordings, including with Jan Gunnar Hoff, Henning Gravrok and Tore Johansen, as well as in trio with Tore Johansen and Arild Andersen.",0,2,== Biography ==,51191611,,,ML
Jan,NNP,MONTH_ABBR_REGEX,TIME,time_reference,"Deilig (Grappa Music), with Jan Eggum",1,71,== Discography == | === Collaborations ===,51191611,,,ML
2 Minutes,CD NNS,DIGIT_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,"2001: 2 Minutes Too Late (), with Lucy Street",0,81,== Discography == | === Collaborations ===,51191611,,,ML
The Sun,DT NNP,PREFIX_REGEX_1 WEEK_ABBR_REGEX,MODIFIER TIME,time_reference,"The Sun Has Come Your Way (), with Sam & Mark",1,112,== Discography == | === Collaborations ===,51191611,,,ML
Last Minute,JJ NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,"Last Minute (), with Kristin Frogner",1,117,== Discography == | === Collaborations ===,51191611,,,ML
Tomorrow,NNP,TIMELINE_REGEX,TIME,time_reference,"2007: Tomorrow Only Knows (), with Alejandro Fuentes",0,123,== Discography == | === Collaborations ===,51191611,,,ML
a Moment,DT NNP,INARTICLE_REGEX TIMELINE_REGEX,MODIFIER TIME,time_reference,"For a Moment (), with Maria Arredondo",1,124,== Discography == | === Collaborations ===,51191611,,,ML
Moment,NNP,TIMELINE_REGEX,TIME,time_reference,"Paradiso (), with Moment",1,130,== Discography == | === Collaborations ===,51191611,,,ML
The Saturdays,DT NNS,PREFIX_REGEX_1 WEEK_REGEX,MODIFIER TIME,time_reference,"Chasing Lights (), with The Saturdays",1,132,== Discography == | === Collaborations ===,51191611,,,ML
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,"Christmas in Bethlehem (), with Carola",1,141,== Discography == | === Collaborations ===,51191611,,,ML
Daylight,NNP,TIME_UNIT_REGEX,TIME,time_reference,"2010: Waiting for Daylight (), with a1",0,147,== Discography == | === Collaborations ===,51191611,,,ML
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,"2010: Have Yourself A Merry Little Christmas (), with Kurt Nilsen",0,149,== Discography == | === Collaborations ===,51191611,,,ML
