time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
2008,CD,YEAR_REGEX_1,TIME,time_reference,"In 2008, Darken won an Academy of Country Music award for Musician Of The Year in the ""Specialty Instrument"" category.",0,5,== Biography == | === Awards ===,55670431,2008-01-01,2008-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,183,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,2013:,0,184,== Discography == | ==== 2013–2014 ====,55670431,2013-01-01,2013-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014: Gary Allan - Set You Free (MCA Nashville),0,185,== Discography == | ==== 2013–2014 ====,55670431,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014: Dan + Shay - Where It All Began (Warner Bros.),0,186,== Discography == | ==== 2013–2014 ====,55670431,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014:,0,187,== Discography == | ==== 2013–2014 ====,55670431,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014: Peter Frampton - Hummingbird in a Box: Songs for a Ballet (Phenix Phonograph),0,188,== Discography == | ==== 2013–2014 ====,55670431,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014: Lucy Hale - Road Between (DMG Nashville),0,189,== Discography == | ==== 2013–2014 ====,55670431,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014:,0,190,== Discography == | ==== 2013–2014 ====,55670431,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014: Jerrod Niemann - High Noon (Arista Nashville),0,191,== Discography == | ==== 2013–2014 ====,55670431,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014: Dolly Parton - Blue Smoke (Dolly),0,192,== Discography == | ==== 2013–2014 ====,55670431,2014-01-01,2014-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,2014:,0,193,== Discography == | ==== 2013–2014 ====,55670431,2014-01-01,2014-12-31,ML
2015–,CD,YEAR_REGEX_1,TIME,time_reference,2015–,1,194,== Discography == | ==== 2015–present ====,55670431,2015-01-01,,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015:,0,195,== Discography == | ==== 2015–present ====,55670431,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015:,0,196,== Discography == | ==== 2015–present ====,55670431,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015:,0,197,== Discography == | ==== 2015–present ====,55670431,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015: Maddie & Tae - Start Here (Dot),0,198,== Discography == | ==== 2015–present ====,55670431,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015:,0,199,== Discography == | ==== 2015–present ====,55670431,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015:,0,200,== Discography == | ==== 2015–present ====,55670431,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,2015:,0,201,== Discography == | ==== 2015–present ====,55670431,2015-01-01,2015-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016:,0,202,== Discography == | ==== 2015–present ====,55670431,2016-01-01,2016-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016: Kaleo - A/B (Atlantic / Elektra),0,203,== Discography == | ==== 2015–present ====,55670431,2016-01-01,2016-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016:,0,204,== Discography == | ==== 2015–present ====,55670431,2016-01-01,2016-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016: Megadeth - Dystopia (Tradecraft / Universal),0,205,== Discography == | ==== 2015–present ====,55670431,2016-01-01,2016-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016:,0,206,== Discography == | ==== 2015–present ====,55670431,2016-01-01,2016-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016:,0,207,== Discography == | ==== 2015–present ====,55670431,2016-01-01,2016-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,2016:,0,208,== Discography == | ==== 2015–present ====,55670431,2016-01-01,2016-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,2017:,0,209,== Discography == | ==== 2015–present ====,55670431,2017-01-01,2017-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,2017:,0,210,== Discography == | ==== 2015–present ====,55670431,2017-01-01,2017-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,2017:,0,211,== Discography == | ==== 2015–present ====,55670431,2017-01-01,2017-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,2017:,0,212,== Discography == | ==== 2015–present ====,55670431,2017-01-01,2017-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,2017:,0,213,== Discography == | ==== 2015–present ====,55670431,2017-01-01,2017-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,2017:,0,214,== Discography == | ==== 2015–present ====,55670431,2017-01-01,2017-12-31,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,2017:,0,215,== Discography == | ==== 2015–present ====,55670431,2017-01-01,2017-12-31,ML
Summer,NN,SEASON_REGEX,TIME,time_reference,Barry Manilow - Summer of '78 (Arista),1,26,== Discography == | ==== 1991–1999 ====,55670431,1978-06-01,1978-08-31,LLM
currently,RB,TIMELINE_REGEX,TIME,time_reference,Darken currently tours with Jimmy Buffett and The Coral Reefer Band.,6,2,== Biography ==,55670431,,,ML
Of The Year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,"In 2008, Darken won an Academy of Country Music award for Musician Of The Year in the ""Specialty Instrument"" category.",0,5,== Biography == | === Awards ===,55670431,,,ML
Of The Year,IN DT NN,PREFIX_REGEX_1 PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER MODIFIER TIME,time_reference,Darken won the Gospel Music Association Dove Award for Instrumental Album Of The Year in 1996.,1,5,== Biography == | === Awards ===,55670431,,,ML
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,"Darken's first solo album, A Drummer Boy's Christmas, was a jazz Christmas album released in 1993.",0,7,== Biography == | === Critical reception ===,55670431,,,ML
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,A Drummer Boy's Christmas (Warner Alliance),1,10,== Discography == | === Solo albums ===,55670431,,,ML
Afternoon,NNP,DAY_TIME_REGEX,TIME,time_reference,Cappuccino Afternoon (Unison),1,11,== Discography == | === Solo albums ===,55670431,,,ML
of the Night,IN DT NNP,PREFIX_REGEX_1 PREFIX_REGEX_1 DAY_TIME_REGEX,MODIFIER MODIFIER TIME,time_reference,Rhythm of the Night (Unison) compilation,1,12,== Discography == | === Solo albums ===,55670431,,,ML
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,Alan Jackson - Honky Tonk Christmas (Arista),1,20,== Discography == | ==== 1991–1999 ====,55670431,,,ML
Christmastime,NNP,HOLIDAY_REGEX,TIME,time_reference,Michael W. Smith - Christmastime (Reunion Records),1,34,== Discography == | ==== 1991–1999 ====,55670431,,,ML
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,Martina McBride - White Christmas (RCA),1,39,== Discography == | ==== 1991–1999 ====,55670431,,,ML
Day Dawning,NNP NNP,TIME_UNIT_REGEX DAY_TIME_REGEX,TIME TIME,time_reference,Wynonna Judd - New Day Dawning (Mercury / Curb),1,51,== Discography == | ==== 2000–2002 ====,55670431,,,ML
Christmas,NNP,HOLIDAY_REGEX,TIME,time_reference,Peter Cetera - You Just Gotta Love Christmas (Viastar),1,85,== Discography == | ==== 2003–2004 ====,55670431,,,ML
Dusk,NNP,DAY_TIME_REGEX,TIME,time_reference,Matt Dusk - Back in Town (Decca),1,106,== Discography == | ==== 2005–2006 ====,55670431,,,ML
These Days,DT NNP,PREFIX_REGEX_1 TIME_UNIT_REGEX,MODIFIER TIME,time_reference,Vince Gill - These Days (MCA Nashville),1,108,== Discography == | ==== 2005–2006 ====,55670431,,,ML
Am,VBP,HALFDAY_REGEX_1,TIME,,Kenny Chesney - Just Who I Am: Poets & Pirates (BNA),1,121,== Discography == | ==== 2007–2009 ====,55670431,,,ML
Yearwood,NNP,TIME_UNIT_REGEX,TIME,time_reference,"Trisha Yearwood - Heaven, Heartache and the Power of Love (Big Machine)",1,131,== Discography == | ==== 2007–2009 ====,55670431,,,ML
This Moment,DT NNP,PREFIX_REGEX_1 TIMELINE_REGEX,MODIFIER TIME,time_reference,Steven Curtis Chapman - This Moment (Sparrow),1,132,== Discography == | ==== 2007–2009 ====,55670431,,,ML
Moment,NN,TIMELINE_REGEX,TIME,time_reference,Willie Nelson - Moment of Forever (Lost Highway),1,137,== Discography == | ==== 2007–2009 ====,55670431,,,ML
Now,RB,TIMELINE_REGEX,TIME,time_reference,Taylor Swift - Speak Now (Big Machine),1,159,== Discography == | ==== 2010–2012 ====,55670431,,,ML
Now,RB,TIMELINE_REGEX,TIME,time_reference,Deep Purple - Now What?!,1,177,== Discography == | ==== 2013–2014 ====,55670431,,,ML
November,NNP,MONTH_REGEX,TIME,time_reference,Neal Morse - Songs from November (Radiant / Metal Blade),1,190,== Discography == | ==== 2013–2014 ====,55670431,,,ML
Noon,NNP,DAY_TIME_REGEX,TIME,time_reference,2014: Jerrod Niemann - High Noon (Arista Nashville),0,191,== Discography == | ==== 2013–2014 ====,55670431,,,ML
Mo,NNP,TIME_UNIT_REGEX,TIME,time_reference,Mo Pitney - Behind This Guitar (Curb),1,208,== Discography == | ==== 2015–present ====,55670431,,,ML
Now,RB,TIMELINE_REGEX,TIME,time_reference,Shania Twain - Now (Mercury Nashville),1,215,== Discography == | ==== 2015–present ====,55670431,,,ML
