URI,support,types,entity,offset,similarityScore,percentageOfSecondRank,sentence,sentenceIndex,paragraphIndex,section,entType,wikiPageID
http://dbpedia.org/resource/Randy_Meisner,240,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Randy Meisner,0,0.9999999995863788,3.1300427155071343e-10,Randy Meisner and Peter Asher were in the audience.,1,7,== Life and career ==,person,782651
http://dbpedia.org/resource/Peter_Asher,272,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Peter Asher,18,0.999999999982208,0.0,Randy Meisner and Peter Asher were in the audience.,1,7,== Life and career ==,person,782651
http://dbpedia.org/resource/Dave_Mason,443,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Dave Mason,83,0.9999999908063444,7.660674312757834e-09,"He embarked on a tour of the west coast in the fall of 2019, sharing the bill with Dave Mason.",7,7,== Life and career ==,person,782651
http://dbpedia.org/resource/Richie_Furay,260,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Richie Furay,57,1.0,0.0,"A documentary, Through It All: The Life and Influence of Richie Furay is currently in post-production.",9,7,== Life and career ==,person,782651
http://dbpedia.org/resource/Cameron_Crowe,446,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Cameron Crowe,18,0.9999999999990196,0.0,It is narrated by Cameron Crowe.,10,7,== Life and career ==,person,782651
http://dbpedia.org/resource/Stephen_Stills,1056,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Stills,23,0.9999999673700876,3.2629904940230207e-08,Au Go-Go Singers (With Stills) (1964) (Roulette Records)As a member of the Buffalo Springfield:,0,11,== Partial discography == | === Albums ===,person,782651
http://dbpedia.org/resource/Richie_Furay,260,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Richie Furay,30,1.0,0.0,The Heartbeat of Love (2006) (Richie Furay and John Macy),0,31,== Partial discography == | === Albums ===,person,782651
http://dbpedia.org/resource/John_Macy,9,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q82955,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Agent,DBpedia:Politician",John Macy,47,0.9999999663199054,0.0,The Heartbeat of Love (2006) (Richie Furay and John Macy),0,31,== Partial discography == | === Albums ===,person,782651
http://dbpedia.org/resource/Richie_Furay,260,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Richie Furay,9,1.0,0.0,Songs of Richie Furay (1980) (Epic Records),0,34,== Partial discography == | === Compilations ===,person,782651
http://dbpedia.org/resource/Richie_Furay,260,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Richie Furay,4,1.0,0.0,The Richie Furay Band ===,1,35,== Partial discography == | === The Richie Furay Band ===,person,782651
