URI,support,types,entity,offset,similarityScore,percentageOfSecondRank,entType,sentence,sentenceIndex,paragraphIndex,section,wikiPageID,timeEntityType
http://dbpedia.org/resource/Aladdin,,http://dbpedia.org/ontology/Person,,,,,person,"He performed regularly at nightclubs in and around Houston, particularly on Dowling Street, where he had been discovered by Aladdin.",4,5,== Life ==,298563,
http://dbpedia.org/resource/Tim_Moore_(comedian),62.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Agent,DBpedia:Person",Tim Moore,49.0,0.6110372047622136,0.2467741935483843,person,"He recorded the hit records ""T-Model Blues"" and ""Tim Moore's Farm"" at SugarHill Recording Studios in Houston.",5,5,== Life ==,298563,
http://dbpedia.org/resource/Houston,47736.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Houston,101.0,0.9998743296391231,8.515069368528144e-05,place,"He recorded the hit records ""T-Model Blues"" and ""Tim Moore's Farm"" at SugarHill Recording Studios in Houston.",5,5,== Life ==,298563,
http://dbpedia.org/resource/Mack_McCormick,,http://dbpedia.org/ontology/Person,,,,,person,"In 1959, the blues researcher Robert ""Mack"" McCormick contacted Hopkins, hoping to bring him to the attention of a broader musical audience engaged in the folk revival.",7,5,== Life ==,298563,
http://dbpedia.org/resource/Houston,47736.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Houston,61.0,0.9988474137088008,0.0006791736554076372,place,McCormack presented Hopkins to integrated audiences first in Houston and then in California.,8,5,== Life ==,298563,
http://dbpedia.org/resource/California,196317.0,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion",California,81.0,0.999901723895728,6.527832065962766e-05,place,McCormack presented Hopkins to integrated audiences first in Houston and then in California.,8,5,== Life ==,298563,
http://dbpedia.org/resource/Joan_Baez,1831.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Joan Baez,66.0,1.0,4.364326412052783e-15,person,"He made his debut at Carnegie Hall on October 14, 1960, alongside Joan Baez and Pete Seeger, performing the spiritual ""Mary Don't You Weep"".",9,5,== Life ==,298563,
http://dbpedia.org/resource/Pete_Seeger,1799.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Pete Seeger,80.0,1.0,0.0,person,"He made his debut at Carnegie Hall on October 14, 1960, alongside Joan Baez and Pete Seeger, performing the spiritual ""Mary Don't You Weep"".",9,5,== Life ==,298563,
http://dbpedia.org/resource/Joan_Baez,1831.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Joan Baez,66.0,1.0,4.364326412052783e-15,person,"He made his debut at Carnegie Hall on October 14, 1960, alongside Joan Baez and Pete Seeger, performing the spiritual ""Mary Don't You Weep"".",9,5,== Life ==,298563,
http://dbpedia.org/resource/Pete_Seeger,1799.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q5,Wikidata:Q483501,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,Schema:MusicGroup,DBpedia:Person,DBpedia:Artist,DBpedia:Agent,DBpedia:MusicalArtist",Pete Seeger,80.0,1.0,0.0,person,"He made his debut at Carnegie Hall on October 14, 1960, alongside Joan Baez and Pete Seeger, performing the spiritual ""Mary Don't You Weep"".",9,5,== Life ==,298563,
http://dbpedia.org/resource/Carnegie_Hall,6194.0,"Wikidata:Q41176,Schema:Place,DBpedia:Place,DBpedia:Location,DBpedia:Building,DBpedia:ArchitecturalStructure,DBpedia:Venue",Carnegie Hall,21.0,0.9999999475800804,5.1519546190597456e-08,place,"He made his debut at Carnegie Hall on October 14, 1960, alongside Joan Baez and Pete Seeger, performing the spiritual ""Mary Don't You Weep"".",9,5,== Life ==,298563,
http://dbpedia.org/resource/United_States,551746.0,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",U.S.,184.0,0.9238830535929784,0.0792798377581811,place,"Through the 1960s and into the 1970s, he released one or sometimes two albums a year and toured, playing at major folk music festivals and at folk clubs and on college campuses in the U.S. and internationally.",1,6,== Life ==,298563,
http://dbpedia.org/resource/United_States,551746.0,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",United States,29.0,0.9996488624548556,0.00017157751210380211,place,He toured extensively in the United States and played a six-city tour of Japan in 1978.,2,6,== Life ==,298563,
http://dbpedia.org/resource/Japan,191325.0,"Wikidata:Q6256,Schema:Place,Schema:Country,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:Country",Japan,73.0,0.9983931923308992,0.0006866349634254174,place,He toured extensively in the United States and played a six-city tour of Japan in 1978.,2,6,== Life ==,298563,
http://dbpedia.org/resource/Houston,47736.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Houston,12.0,0.9985043062541228,0.000747602483658866,place,Hopkins was Houston's poet-in-residence for 35 years.,0,7,== Life ==,298563,
http://dbpedia.org/resource/Texas,138942.0,"Wikidata:Q3455524,Schema:Place,Schema:AdministrativeArea,DBpedia:Region,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:AdministrativeRegion",Texas,38.0,0.9991319660483766,0.0007509284633225931,place,"A statue of Hopkins sits in Crockett, Texas.",2,7,== Life ==,298563,
http://dbpedia.org/resource/Houston,47736.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Houston,37.0,0.9988381212274968,0.0006315706843930139,place,"Hopkins died of esophageal cancer in Houston on January 30, 1982, at the age of 69.",3,7,== Life ==,298563,
http://dbpedia.org/resource/New_York_City,210990.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",New York,20.0,0.9848240694246944,0.0141928424047028,place,"His obituary in the New York Times described him as ""one of the great country blues singers and perhaps the greatest single influence on rock guitar players.""",4,7,== Life ==,298563,
http://dbpedia.org/resource/Dolf_Kessler,18.0,"Http://xmlns.com/foaf/0.1/Person,Wikidata:Q937857,Wikidata:Q5,Wikidata:Q24229398,Wikidata:Q215627,DUL:NaturalPerson,DUL:Agent,Schema:Person,DBpedia:Person,DBpedia:Athlete,DBpedia:Agent,DBpedia:SoccerPlayer",Kessler,214.0,0.978358830081828,0.02171799254112,person,"His Gibson J-160e ""hollowbox"" is on display at the Rock Hall of Fame in Cleveland, and his Guild Starfire at the National Museum of African American History and Culture in Washington, DC, both on loan from the Joe Kessler collection.",0,8,== Life ==,298563,
http://dbpedia.org/resource/Rock_and_Roll_Hall_of_Fame,2873.0,"Wikidata:Q41176,Wikidata:Q33506,Schema:Place,DBpedia:Place,DBpedia:Location,DBpedia:Building,DBpedia:ArchitecturalStructure,DBpedia:Museum",Rock Hall,51.0,0.9999999999943155,5.498718731295384e-12,place,"His Gibson J-160e ""hollowbox"" is on display at the Rock Hall of Fame in Cleveland, and his Guild Starfire at the National Museum of African American History and Culture in Washington, DC, both on loan from the Joe Kessler collection.",0,8,== Life ==,298563,
http://dbpedia.org/resource/Cleveland,29435.0,"Wikidata:Q515,Wikidata:Q486972,Schema:Place,Schema:City,DBpedia:Settlement,DBpedia:PopulatedPlace,DBpedia:Place,DBpedia:Location,DBpedia:City",Cleveland,72.0,0.995453907591577,0.003038239504267,place,"His Gibson J-160e ""hollowbox"" is on display at the Rock Hall of Fame in Cleveland, and his Guild Starfire at the National Museum of African American History and Culture in Washington, DC, both on loan from the Joe Kessler collection.",0,8,== Life ==,298563,
http://dbpedia.org/resource/Starfire_Sports,86.0,"Wikidata:Q41176,Schema:Place,DBpedia:Place,DBpedia:Location,DBpedia:Building,DBpedia:ArchitecturalStructure,DBpedia:Venue",Starfire,97.0,0.5432188381656055,0.7571706382935083,place,"His Gibson J-160e ""hollowbox"" is on display at the Rock Hall of Fame in Cleveland, and his Guild Starfire at the National Museum of African American History and Culture in Washington, DC, both on loan from the Joe Kessler collection.",0,8,== Life ==,298563,
