types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Play107007945,http://dbpedia.org/resource/Il_pastor_fido,Il pastor fido,44,26,0.9999999093446986,9.06552992905386e-08,0,263,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Wikicat17th-centuryPlays,http://dbpedia.org/resource/Il_pastor_fido,Il pastor fido,44,26,0.9999999093446986,9.06552992905386e-08,0,263,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatTragicomedyPlays,http://dbpedia.org/resource/Il_pastor_fido,Il pastor fido,44,26,0.9999999093446986,9.06552992905386e-08,0,263,== Works == | === Vocal works ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatAncientGreekMerchants,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/WikicatMythologicalKings,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Businessperson109882716,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Capitalist109609232,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/HeadOfState110164747,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/King110231515,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Merchant110309896,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Negotiator110351874,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Representative110522035,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Ruler110541229,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Sovereign110628644,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Cephalus,Cephalus,111,27,1.0,3.052329779719661e-16,0,267,== Works == | === Vocal works ===
